id,person_name,updated,reviewed,performance,potential,category,peformance_potential,feedback_sent,polarity,confidence,word_count
20127,Brayden Harding,False,True,Low,Low,1,1: Low : Low,He has shown himself to be ineffective in the areas pertaining to his role.,NEGATIVE,0.9991593360900879,14
20127,Brayden Harding,False,True,Low,Low,1,1: Low : Low,He does not show an aptitude for the work.,NEGATIVE,0.999749481678009,9
20127,Brayden Harding,False,True,Low,Low,1,1: Low : Low,He also shows no aptitude for building relationships with other team members.,NEGATIVE,0.9993723034858704,12
20128,Brayden Harding,False,True,Low,Low,1,1: Low : Low,Brayden has been a hassle in the office.,NEGATIVE,0.9809937477111816,8
20128,Brayden Harding,False,True,Low,Low,1,1: Low : Low,His lack of speed and work capability has put the whole office backed up to pick up the slack.,NEGATIVE,0.983412504196167,19
20128,Brayden Harding,False,True,Low,Low,1,1: Low : Low,He has much to improve on and I do not think this is the best position for Brayden.,NEGATIVE,0.9991841912269592,18
20128,Brayden Harding,False,True,Low,Low,1,1: Low : Low,His lack of willingness to work has put a burden on us all.,NEGATIVE,0.9972425699234009,13
20129,Brayden Harding,False,True,Low,Low,1,1: Low : Low,Brayden has shown zero initiative in the last few weeks to help the team achieve the deadline.,NEGATIVE,0.999659538269043,17
20129,Brayden Harding,False,True,Low,Low,1,1: Low : Low,"Given the current situation, all members are putting in extra hours to service customers.",POSITIVE,0.9433233141899109,14
20129,Brayden Harding,False,True,Low,Low,1,1: Low : Low,Meanwhile Brayden ignores all physical distancing measures and attends social gathering with his friends.,NEGATIVE,0.9958273768424988,14
20129,Brayden Harding,False,True,Low,Low,1,1: Low : Low,His careless act puts other associates in danger and he has already been issued a warning.,NEGATIVE,0.9930762052536011,16
20129,Brayden Harding,False,True,Low,Low,1,1: Low : Low,"If he continues his lethargic behaviour, he is in real danger of losing this job.",NEGATIVE,0.9983729124069214,15
20130,Brayden Harding,False,True,Low,Low,1,1: Low : Low,Brayden Harding is worrisome to say the least.,NEGATIVE,0.9981028437614441,8
20130,Brayden Harding,False,True,Low,Low,1,1: Low : Low,He has no effort in his work or his ability to even show up to work.,NEGATIVE,0.999743640422821,16
20130,Brayden Harding,False,True,Low,Low,1,1: Low : Low,He is not in my opinion worth the time.,NEGATIVE,0.9998750686645508,9
20130,Brayden Harding,False,True,Low,Low,1,1: Low : Low,There is no redeeming quality in him as far as our industry is concerned.,NEGATIVE,0.9999161958694458,14
20133,Bryan Murray,True,True,Low,Low,1,1: Low : Low,Bryan has not met the level of delivery standards expected of him.,NEGATIVE,0.9993444085121155,12
20133,Bryan Murray,True,True,Low,Low,1,1: Low : Low,It has only been exacerbated by his relatively low domain knowledge he possesses.,NEGATIVE,0.9953676462173462,13
20133,Bryan Murray,True,True,Low,Low,1,1: Low : Low,He definitely needs to work a lot harder to sharpen his domain skills which can complement is core technical competencies.,NEGATIVE,0.9755011200904846,20
20133,Bryan Murray,True,True,Low,Low,1,1: Low : Low,He does have a helpful senior team from which he can learn a lot from.,POSITIVE,0.9956854581832886,15
20141,Zoe White,True,True,Low,Low,1,1: Low : Low,Zoe performs work for our team.,POSITIVE,0.9991399049758911,6
20141,Zoe White,True,True,Low,Low,1,1: Low : Low,The quality of her work is usually of moderate quality.,NEGATIVE,0.6844999194145203,10
20141,Zoe White,True,True,Low,Low,1,1: Low : Low,When her work is not of moderate quality it is of poor quality.,NEGATIVE,0.9998660087585449,13
20141,Zoe White,True,True,Low,Low,1,1: Low : Low,She needs to seek the advice of her team to improve her work output.,NEGATIVE,0.9373590350151062,14
20170,Valeria Crane,False,True,Low,Low,1,1: Low : Low,"To simply but, Valeria is currently ranked last in the customer service leaderboard, having missed some basic but important sales target and slacking off at work.",NEGATIVE,0.9999265670776367,26
20170,Valeria Crane,False,True,Low,Low,1,1: Low : Low,"She is constantly on her phone to the point where we had to bar the use of phones within the office, causing inconvenience to genuine team members.",NEGATIVE,0.9829142689704895,27
20170,Valeria Crane,False,True,Low,Low,1,1: Low : Low,"I am afraid, unless she improves, she may be counting her last few weeks in this company.",NEGATIVE,0.9995123147964478,17
20171,Valeria Crane,False,True,Low,Low,1,1: Low : Low,Valeria is considered a risk.,NEGATIVE,0.9886918067932129,5
20171,Valeria Crane,False,True,Low,Low,1,1: Low : Low,She has not been performing up to required standards.,NEGATIVE,0.997918426990509,9
20171,Valeria Crane,False,True,Low,Low,1,1: Low : Low,We have tried working with her to improve and there has not been any improvement.,NEGATIVE,0.9999030828475952,15
20171,Valeria Crane,False,True,Low,Low,1,1: Low : Low,"More testing will be required, but I would not recommend for personal advancement until noticeable and consistent improvement from management.",POSITIVE,0.986150324344635,20
20172,Valeria Crane,False,True,Low,Low,1,1: Low : Low,Valeria Crane is a hazard in our team.,POSITIVE,0.9979597330093384,8
20172,Valeria Crane,False,True,Low,Low,1,1: Low : Low,She has shown no signs of reliability.,NEGATIVE,0.9997779726982117,7
20172,Valeria Crane,False,True,Low,Low,1,1: Low : Low,She is difficult to work with and does not seem motivated.,NEGATIVE,0.9999518394470215,11
20172,Valeria Crane,False,True,Low,Low,1,1: Low : Low,Valeria needs a lot of guidance to complete tasks.,NEGATIVE,0.8168869614601135,9
20173,Valeria Crane,False,True,Low,Low,1,1: Low : Low,Valeria Crane has shown little in her work to amaze.,NEGATIVE,0.9952228665351868,10
20173,Valeria Crane,False,True,Low,Low,1,1: Low : Low,So far it has been of a level below standard.,NEGATIVE,0.9999328851699829,10
20173,Valeria Crane,False,True,Low,Low,1,1: Low : Low,We have not seen a consistent member of the team.,NEGATIVE,0.9977155923843384,10
20173,Valeria Crane,False,True,Low,Low,1,1: Low : Low,Undertaking tasks has been a poor turn out so far from Valeria.,NEGATIVE,0.8214364051818848,12
20186,Johanna Duke,True,True,Low,Low,1,1: Low : Low,"Despite Johanna Duke appearing to be a capable and promising employee, Duke has show to be incapable of keeping a steady level of work ethic.",NEGATIVE,0.9984921216964722,25
20186,Johanna Duke,True,True,Low,Low,1,1: Low : Low,"Duke's wish to finish work so that is done, not completed as it should be.",NEGATIVE,0.9853094220161438,15
20186,Johanna Duke,True,True,Low,Low,1,1: Low : Low,Duke should consider the possibility of focusing more on a standard of work that is required of us all.,NEGATIVE,0.9245335459709167,19
20186,Johanna Duke,True,True,Low,Low,1,1: Low : Low,"Duke seems to view this job as a paycheck, nothing more.",NEGATIVE,0.9592199921607971,11
20212,Jon Fischer,False,True,Low,Low,1,1: Low : Low,Jon has been really difficult to work with for the last couple of quarters.,NEGATIVE,0.9999287128448486,14
20212,Jon Fischer,False,True,Low,Low,1,1: Low : Low,"He had missed the security audit completely which led to a straight rejection from the customer, affecting our rating and reviews.",NEGATIVE,0.9996373653411865,21
20212,Jon Fischer,False,True,Low,Low,1,1: Low : Low,"He arrives late, has extended breaks and leaves early.",NEGATIVE,0.9706780910491943,9
20212,Jon Fischer,False,True,Low,Low,1,1: Low : Low,"If Jon doesn't get his act straight, we definitely need to release him.",NEGATIVE,0.9900059103965759,13
20213,Jon Fischer,False,True,Low,Low,1,1: Low : Low,Jon fisher is a disappointment.,NEGATIVE,0.9958036541938782,5
20213,Jon Fischer,False,True,Low,Low,1,1: Low : Low,Lazy and complains about everything.,NEGATIVE,0.9994297623634338,5
20213,Jon Fischer,False,True,Low,Low,1,1: Low : Low,He will not move on in life like this.,NEGATIVE,0.999113142490387,9
20213,Jon Fischer,False,True,Low,Low,1,1: Low : Low,Very mediocre type of worker.,NEGATIVE,0.9998756647109985,5
20214,Jon Fischer,False,True,Low,Low,1,1: Low : Low,Jon Fischer has not been instrumental so far at his job.,NEGATIVE,0.9720154404640198,11
20214,Jon Fischer,False,True,Low,Low,1,1: Low : Low,He has little to offer when achieving goals.,NEGATIVE,0.9916911125183105,8
20214,Jon Fischer,False,True,Low,Low,1,1: Low : Low,We do not see promise yet in his work.,NEGATIVE,0.9069935083389282,9
20214,Jon Fischer,False,True,Low,Low,1,1: Low : Low,"That being said, he could also do with being more punctual with his assignments.",NEGATIVE,0.7196150422096252,14
20015,Noah Poole,True,True,Moderate,Low,2,2: Moderate : Low,Noah Poole was hired on board this past January to improve the designs of our sports product line.,POSITIVE,0.9911415576934814,18
20015,Noah Poole,True,True,Moderate,Low,2,2: Moderate : Low,"Being an athlete himself with a few years of product design and graphic design experience, he has the knowledge to take product designs through from beginning to end.",POSITIVE,0.9995111227035522,28
20015,Noah Poole,True,True,Moderate,Low,2,2: Moderate : Low,He's exemplified this through his ideas and reasoning in multiple meetings.,POSITIVE,0.9988064765930176,11
20015,Noah Poole,True,True,Moderate,Low,2,2: Moderate : Low,"But, I have noticed he has struggle to get things started on some of these interesting, ingenious designs he's voice.",POSITIVE,0.993728756904602,20
20015,Noah Poole,True,True,Moderate,Low,2,2: Moderate : Low,"Either that, or he does follow through to completion.",POSITIVE,0.9949853420257568,9
20015,Noah Poole,True,True,Moderate,Low,2,2: Moderate : Low,I wish him well in his projects and hope he improves upon his record from this quarter.,POSITIVE,0.9910683631896973,17
20016,Noah Poole,True,True,Moderate,Low,2,2: Moderate : Low,Noah Poole's work outpit is hit or miss.,NEGATIVE,0.994834303855896,8
20016,Noah Poole,True,True,Moderate,Low,2,2: Moderate : Low,Noah possesses skills needed to perform at a mid level output.,POSITIVE,0.9989733695983887,11
20016,Noah Poole,True,True,Moderate,Low,2,2: Moderate : Low,Noah lacks the motivation and drive to attain the next level.,NEGATIVE,0.9999141693115234,11
20016,Noah Poole,True,True,Moderate,Low,2,2: Moderate : Low,Noah should focus on critical thinking skills this quarter.,NEGATIVE,0.9949504137039185,9
20020,Max Miller,True,True,Moderate,Low,2,2: Moderate : Low,Max is a good worker.,POSITIVE,0.9968236684799194,5
20020,Max Miller,True,True,Moderate,Low,2,2: Moderate : Low,Always does his task without question.,POSITIVE,0.9981988072395325,6
20020,Max Miller,True,True,Moderate,Low,2,2: Moderate : Low,He maybe a good leader one day if he wants that.,NEGATIVE,0.9618760943412781,11
20020,Max Miller,True,True,Moderate,Low,2,2: Moderate : Low,But intel then hes fine where he is.,POSITIVE,0.6486587524414062,8
20050,Lacey Howard,False,True,Moderate,Low,2,2: Moderate : Low,Lacey Howard has been a valuable employee of this company for several years.,POSITIVE,0.9979937076568604,13
20050,Lacey Howard,False,True,Moderate,Low,2,2: Moderate : Low,She has consistently maintained the same level of quality in her work without issue or complaint.,POSITIVE,0.9991940855979919,16
20050,Lacey Howard,False,True,Moderate,Low,2,2: Moderate : Low,Ms. Howard's commitment has been instrumental in furthering the mission of our company and we admire her decision to remain in her capacity.,POSITIVE,0.9940899014472961,23
20065,Georgia Rogers,True,True,Moderate,Low,2,2: Moderate : Low,Georgia could always be relied upon to deliver what is expected of her.,POSITIVE,0.9968342185020447,13
20065,Georgia Rogers,True,True,Moderate,Low,2,2: Moderate : Low,The team appreciated Georgia's presence and perceived her as a solid performer without significant deviations from her job description.,POSITIVE,0.997195839881897,19
20065,Georgia Rogers,True,True,Moderate,Low,2,2: Moderate : Low,"The feedback from one of Georgia's recent projects is that she performed in accordance with the requirements, but the feedback did not provide any special achievements that would go beyond Georgia's normal duties.",NEGATIVE,0.9970771074295044,33
20065,Georgia Rogers,True,True,Moderate,Low,2,2: Moderate : Low,The company has made it clear that all staff members should think about their professional development.,POSITIVE,0.9935030341148376,16
20065,Georgia Rogers,True,True,Moderate,Low,2,2: Moderate : Low,Georgia has not proactively provided her own professional outlook.,NEGATIVE,0.9983124732971191,9
20075,Milania Hodge,True,True,Moderate,Low,2,2: Moderate : Low,Milania has worked very hard to get to where she is now.,NEGATIVE,0.9900515675544739,12
20075,Milania Hodge,True,True,Moderate,Low,2,2: Moderate : Low,We are very impressed by her time management.,POSITIVE,0.9961440563201904,8
20075,Milania Hodge,True,True,Moderate,Low,2,2: Moderate : Low,"However, she seems to get distracted easily by her team mates, and it has an affect on her work.",POSITIVE,0.5488671064376831,19
20075,Milania Hodge,True,True,Moderate,Low,2,2: Moderate : Low,There have been three occasions where her reports had a few large spelling errors and wrong numbers.,NEGATIVE,0.9998955726623535,17
20075,Milania Hodge,True,True,Moderate,Low,2,2: Moderate : Low,"Thankfully, it was fixed immediately.",NEGATIVE,0.9178933501243591,5
20075,Milania Hodge,True,True,Moderate,Low,2,2: Moderate : Low,"Maybe she needs to spend more time proofreading her work, but nonetheless, she has a great work ethic.",POSITIVE,0.9974023103713989,18
20091,Alisa Stark,False,True,Moderate,Low,2,2: Moderate : Low,Alisa Stark is a good work and can complete the mission along with her peers.,POSITIVE,0.9968597888946533,15
20091,Alisa Stark,False,True,Moderate,Low,2,2: Moderate : Low,Currently Alisa potential has a-lot to build among.,POSITIVE,0.9817953705787659,8
20091,Alisa Stark,False,True,Moderate,Low,2,2: Moderate : Low,She may lack self motivation to get the task accomplished on her own.,NEGATIVE,0.9915766716003418,13
20091,Alisa Stark,False,True,Moderate,Low,2,2: Moderate : Low,Performance goals with in the office need to be taken to the next level and at this time she has not delivered expected,NEGATIVE,0.9601481556892395,23
20093,Alisa Stark,False,True,Moderate,Low,2,2: Moderate : Low,"Throughout my time working with Alisa Stark, I have made a couple of observations.",POSITIVE,0.9998832941055298,14
20093,Alisa Stark,False,True,Moderate,Low,2,2: Moderate : Low,"I believe that due to Alisa's lack of knowledge, she is unable to make creative useful strategies.",NEGATIVE,0.9998276233673096,17
20093,Alisa Stark,False,True,Moderate,Low,2,2: Moderate : Low,"But, her years of experience certainly have an impact on her ability to perform and submit things on time.",POSITIVE,0.9985622763633728,19
20093,Alisa Stark,False,True,Moderate,Low,2,2: Moderate : Low,Alisa's skills have allowed her to complete her responsibilities but does not aid in the innovation sector.,NEGATIVE,0.9260213375091553,17
20094,Alisa Stark,True,True,Moderate,Low,2,2: Moderate : Low,Alisa Stark is an average performer in all tasks asked of her.,NEGATIVE,0.9994692206382751,12
20094,Alisa Stark,True,True,Moderate,Low,2,2: Moderate : Low,She only does what is asked of her.,POSITIVE,0.9648580551147461,8
20094,Alisa Stark,True,True,Moderate,Low,2,2: Moderate : Low,She doesn't look around to see if anything else can be done.,NEGATIVE,0.9989438652992249,12
20096,Ashton Owen,True,True,Moderate,Low,2,2: Moderate : Low,Ashton Owen's proven to a be a capable worker and always delivers when needed.,POSITIVE,0.9987757802009583,14
20096,Ashton Owen,True,True,Moderate,Low,2,2: Moderate : Low,"But, a desire for a higher paying position with more responsibility does not appear present.",NEGATIVE,0.9426205158233643,15
20096,Ashton Owen,True,True,Moderate,Low,2,2: Moderate : Low,"While his work ethic is there, he will need to improve on his knowledge base and/or experience.",NEGATIVE,0.884437620639801,17
20096,Ashton Owen,True,True,Moderate,Low,2,2: Moderate : Low,"If he wishes to receive a promotion, Owen must prove he will be an asset to a higher responsibility position.",POSITIVE,0.9341930747032166,20
20114,Dominic Wood,True,True,Moderate,Low,2,2: Moderate : Low,Dominic is a good team player but tends to rely too much on others to complete his tasks.,NEGATIVE,0.8373887538909912,18
20114,Dominic Wood,True,True,Moderate,Low,2,2: Moderate : Low,"In other words, he struggles to convert his potential to tangible results and performance.",NEGATIVE,0.9063574075698853,14
20114,Dominic Wood,True,True,Moderate,Low,2,2: Moderate : Low,He needs to roll up his sleeves and work on upgrading his skillsets.,NEGATIVE,0.9949709177017212,13
20114,Dominic Wood,True,True,Moderate,Low,2,2: Moderate : Low,If not he may not find himself in the migration project.,POSITIVE,0.9762508273124695,11
20132,Bryan Murray,False,True,Moderate,Low,2,2: Moderate : Low,Bryan Murray has not shown his talent so far.,NEGATIVE,0.9966140389442444,9
20132,Bryan Murray,False,True,Moderate,Low,2,2: Moderate : Low,"Yet, he has shown he can work hard and provide good quality material.",POSITIVE,0.9970594048500061,13
20132,Bryan Murray,False,True,Moderate,Low,2,2: Moderate : Low,He has shown without great ability that he can succeed.,NEGATIVE,0.9972822666168213,10
20132,Bryan Murray,False,True,Moderate,Low,2,2: Moderate : Low,His average work has always been consistent.,POSITIVE,0.9356407523155212,7
20134,Bryan Murray,False,True,Moderate,Low,2,2: Moderate : Low,Mr. Murray does good work.,POSITIVE,0.9751610159873962,5
20134,Bryan Murray,False,True,Moderate,Low,2,2: Moderate : Low,He stays on task but at the same time gives the same amount of effort.,POSITIVE,0.6324763894081116,15
20134,Bryan Murray,False,True,Moderate,Low,2,2: Moderate : Low,Mr. Murray is best where he is at now.,POSITIVE,0.9988847374916077,9
20134,Bryan Murray,False,True,Moderate,Low,2,2: Moderate : Low,I dont see him in the future as a leader or an rising star.,NEGATIVE,0.9990133047103882,14
20134,Bryan Murray,False,True,Moderate,Low,2,2: Moderate : Low,He good for only the basics,NEGATIVE,0.5840926766395569,6
20135,Bryan Murray,True,True,Moderate,Low,2,2: Moderate : Low,"the student Murray does not have great abilities, it is a problem really his qualities have not been revealed and he has many complaints from the teachers, however he almost always passes his subjects after struggles and discussions he can improve if you put your mind to it",NEGATIVE,0.9913457632064819,48
20149,Niamh Walsh,True,True,Moderate,Low,2,2: Moderate : Low,Niamh's performance has been average for the ongoing appraisal cycle.,NEGATIVE,0.9078966379165649,10
20149,Niamh Walsh,True,True,Moderate,Low,2,2: Moderate : Low,"While he has delivered some key components, he has not been able to optimize his solutions and make it performant.",NEGATIVE,0.9941332936286926,20
20149,Niamh Walsh,True,True,Moderate,Low,2,2: Moderate : Low,"When dealing with such scale of data, he needs to focus on solid programming patterns to deliver best results.",NEGATIVE,0.9848729372024536,19
20149,Niamh Walsh,True,True,Moderate,Low,2,2: Moderate : Low,"He definitely needs to work a lot harder in order to catch up with his team mates, who are much better in writing optimal solutions.",NEGATIVE,0.9985767602920532,25
20174,Ella Powers,True,True,Moderate,Low,2,2: Moderate : Low,Ella has done a satisfactory job this quarter.,POSITIVE,0.9846466183662415,8
20174,Ella Powers,True,True,Moderate,Low,2,2: Moderate : Low,"She has been able to get by with her work, however, I think there is much room for improvement.",NEGATIVE,0.996113657951355,19
20174,Ella Powers,True,True,Moderate,Low,2,2: Moderate : Low,I expect more out of her and she should be able to improve her quality and speed of work for the next quarter.,NEGATIVE,0.8846611380577087,23
20174,Ella Powers,True,True,Moderate,Low,2,2: Moderate : Low,When Ella was brought on I was originally expecting more from her and will push her to do so.,POSITIVE,0.9781709313392639,19
20175,Ella Powers,True,True,Moderate,Low,2,2: Moderate : Low,Ella's performance has been just about at par with the industry standards.,POSITIVE,0.911471962928772,12
20175,Ella Powers,True,True,Moderate,Low,2,2: Moderate : Low,She has shown initiative in certain areas but shows little motivation when presented a challenging assignment.,NEGATIVE,0.9961851239204407,16
20175,Ella Powers,True,True,Moderate,Low,2,2: Moderate : Low,Ella needs assistance of others when we expect her to be on her own.,POSITIVE,0.7530269026756287,14
20175,Ella Powers,True,True,Moderate,Low,2,2: Moderate : Low,"Of course, she can sign up for our coaching program to improve herself based on this feedback.",POSITIVE,0.847506582736969,17
20179,Regan Rhodes,True,True,Moderate,Low,2,2: Moderate : Low,Regan is not at all a bad employee first off.,POSITIVE,0.9876794815063477,10
20179,Regan Rhodes,True,True,Moderate,Low,2,2: Moderate : Low,"He works hard, he is consistent, and his quality of work is always where it needs to be.",POSITIVE,0.9985126852989197,18
20179,Regan Rhodes,True,True,Moderate,Low,2,2: Moderate : Low,However he is somewhat stubborn and complacent in his ways.,POSITIVE,0.9367931485176086,10
20179,Regan Rhodes,True,True,Moderate,Low,2,2: Moderate : Low,I believe his potential for evolution in the industry is poor.,NEGATIVE,0.998894989490509,11
20179,Regan Rhodes,True,True,Moderate,Low,2,2: Moderate : Low,I see him falling behind over time if he doesn't figure out how to evolve with the industry.,NEGATIVE,0.9861452579498291,18
20216,Talon Miller,True,True,Moderate,Low,2,2: Moderate : Low,"Mr. Miller has been with the company over 4 weeks now, and we have found his performance to be average.",NEGATIVE,0.9995317459106445,20
20216,Talon Miller,True,True,Moderate,Low,2,2: Moderate : Low,"Although Mr. Miller arrives at work on time, he frequently arrives unprepared to start before taking at least 20 minutes in the rest room each morning.",NEGATIVE,0.9496769905090332,26
20216,Talon Miller,True,True,Moderate,Low,2,2: Moderate : Low,After lunch he insists on taking a nap in his car.,NEGATIVE,0.9226848483085632,11
20216,Talon Miller,True,True,Moderate,Low,2,2: Moderate : Low,Mr. Miller has been rude to customers and has failed to follow instructions for the most basic tasks pertaining to his job.,NEGATIVE,0.9996784925460815,22
20216,Talon Miller,True,True,Moderate,Low,2,2: Moderate : Low,"If not for his big smile and warm way of talking to customers, we would have fired him last week.",NEGATIVE,0.9578791260719299,20
20217,Talon Miller,False,True,Moderate,Low,2,2: Moderate : Low,"I am writing today to provide feedback on my colleague, Talon Miller.",POSITIVE,0.8973832726478577,12
20217,Talon Miller,False,True,Moderate,Low,2,2: Moderate : Low,Mr. Miller performs adequately at his job in the lab and completes the duties assigned to him.,POSITIVE,0.998799204826355,17
20217,Talon Miller,False,True,Moderate,Low,2,2: Moderate : Low,"However, the quality of his work lacks.",NEGATIVE,0.9993793964385986,7
20219,Talon Miller,False,True,Moderate,Low,2,2: Moderate : Low,Talon is fairly effective at managing his workload.,POSITIVE,0.9996808767318726,8
20219,Talon Miller,False,True,Moderate,Low,2,2: Moderate : Low,He has been a consistent team member.,POSITIVE,0.9988391995429993,7
